被引年份,科目,总篇数,出版年份,出版年份数据,1是错误数据
2018,   社会科学Ⅰ辑 ,69907篇,2015,8545,0
2018,   社会科学Ⅱ辑 ,132763篇,2015,16026,0
2018,   基础科学 ,77065篇,2014,8055,0
2018,   工程科技Ⅰ辑 ,162051篇,2010,10273,0
2018,   工程科技Ⅱ辑 ,216395篇,2010,13066,0
2018,   农业科技 ,70178篇,2010,4534,0
2018,   医药卫生科技 ,95157篇,2010,5532,0
2018,   哲学与人文科学 ,123240篇,2010,8071,0
2018,   信息科技 ,174519篇,2010,11339,0
2018,   经济与管理科学 ,171798篇,2010,10931,0
2018,   社会科学Ⅰ辑 ,69907篇,2010,4076,0
2018,   社会科学Ⅱ辑 ,132763篇,2010,7168,0
2018,   基础科学 ,77065篇,2013,7871,0
2018,   工程科技Ⅰ辑 ,162051篇,2011,11928,0
2018,   工程科技Ⅱ辑 ,216395篇,2011,14589,0
2018,   农业科技 ,70178篇,2011,4843,0
2018,   医药卫生科技 ,95157篇,2011,6284,0
2018,   哲学与人文科学 ,123240篇,2011,9891,0
2018,   信息科技 ,174519篇,2011,12342,0
2018,   经济与管理科学 ,171798篇,2011,12036,0
2018,   社会科学Ⅰ辑 ,69907篇,2011,5231,0
2018,   社会科学Ⅱ辑 ,132763篇,2011,9867,0
2018,   基础科学 ,77065篇,2012,6542,0
2018,   工程科技Ⅰ辑 ,162051篇,2009,8440,0
2018,   工程科技Ⅱ辑 ,216395篇,2009,11372,0
2018,   农业科技 ,70178篇,2009,4046,0
2018,   医药卫生科技 ,95157篇,2009,4344,0
2018,   哲学与人文科学 ,123240篇,2009,6797,0
2018,   信息科技 ,174519篇,2009,10092,0
2018,   经济与管理科学 ,171798篇,2009,8701,0
2018,   社会科学Ⅰ辑 ,69907篇,2009,2845,0
2018,   社会科学Ⅱ辑 ,132763篇,2009,6355,0
2018,   基础科学 ,77065篇,2011,5519,0
2018,   工程科技Ⅰ辑 ,162051篇,2012,15725,0
2018,   工程科技Ⅱ辑 ,216395篇,2012,19694,0
2018,   农业科技 ,70178篇,2012,6238,0
2018,   医药卫生科技 ,95157篇,2012,8791,0
2018,   哲学与人文科学 ,123240篇,2012,12405,0
2018,   信息科技 ,174519篇,2012,16187,0
2018,   经济与管理科学 ,171798篇,2012,16004,0
2018,   社会科学Ⅰ辑 ,69907篇,2012,6683,0
2018,   社会科学Ⅱ辑 ,132763篇,2012,11869,0
2018,   基础科学 ,77065篇,2010,5096,0
2018,   工程科技Ⅰ辑 ,162051篇,2013,16781,0
2018,   工程科技Ⅱ辑 ,216395篇,2013,22075,0
2018,   农业科技 ,70178篇,2013,7181,0
2018,   医药卫生科技 ,95157篇,2013,10291,0
2018,   哲学与人文科学 ,123240篇,2013,12932,0
2018,   信息科技 ,174519篇,2013,19466,0
2018,   经济与管理科学 ,171798篇,2013,16817,0
2018,   社会科学Ⅰ辑 ,69907篇,2013,7809,0
2018,   社会科学Ⅱ辑 ,132763篇,2013,14010,0
2018,   基础科学 ,77065篇,2009,4688,0
2018,   工程科技Ⅰ辑 ,162051篇,2014,18362,0
2018,   工程科技Ⅱ辑 ,216395篇,2014,23889,0
2018,   农业科技 ,70178篇,2014,7600,0
2018,   医药卫生科技 ,95157篇,2014,11884,0
2018,   哲学与人文科学 ,123240篇,2014,13282,0
2018,   信息科技 ,174519篇,2014,19991,0
2018,   经济与管理科学 ,171798篇,2014,19870,0
2018,   社会科学Ⅰ辑 ,69907篇,2014,8535,0
2018,   社会科学Ⅱ辑 ,132763篇,2014,15392,0
2018,   基础科学 ,77065篇,2008,4765,0
2018,   工程科技Ⅰ辑 ,162051篇,2007,7391,0
2018,   工程科技Ⅱ辑 ,216395篇,2007,11002,0
2018,   农业科技 ,70178篇,2007,3283,0
2018,   医药卫生科技 ,95157篇,2007,3157,0
2018,   哲学与人文科学 ,123240篇,2007,6675,0
2018,   信息科技 ,174519篇,2007,7851,0
2018,   经济与管理科学 ,171798篇,2007,7216,0
2018,   社会科学Ⅰ辑 ,69907篇,2007,2490,0
2018,   社会科学Ⅱ辑 ,132763篇,2007,5758,0
2018,   基础科学 ,77065篇,2007,4298,0
2018,   工程科技Ⅰ辑 ,162051篇,2008,7987,0
2018,   工程科技Ⅱ辑 ,216395篇,2008,11013,0
2018,   农业科技 ,70178篇,2008,3939,0
2018,   医药卫生科技 ,95157篇,2008,3624,0
2018,   哲学与人文科学 ,123240篇,2008,6816,0
2018,   信息科技 ,174519篇,2008,8764,0
2018,   经济与管理科学 ,171798篇,2008,8382,0
2018,   社会科学Ⅰ辑 ,69907篇,2008,2881,0
2018,   社会科学Ⅱ辑 ,132763篇,2008,6367,0
2018,   基础科学 ,77065篇,2006,3425,0
2018,   工程科技Ⅰ辑 ,162051篇,2006,5626,0
2018,   工程科技Ⅱ辑 ,216395篇,2006,8438,0
2018,   农业科技 ,70178篇,2006,2689,0
2018,   医药卫生科技 ,95157篇,2006,2088,0
2018,   哲学与人文科学 ,123240篇,2006,4876,0
2018,   信息科技 ,174519篇,2006,5861,0
2018,   经济与管理科学 ,171798篇,2006,5366,0
2018,   社会科学Ⅰ辑 ,69907篇,2006,1825,0
2018,   社会科学Ⅱ辑 ,132763篇,2006,4420,0
2018,   基础科学 ,77065篇,2005,2285,0
2018,   工程科技Ⅰ辑 ,162051篇,2002,997,0
2018,   工程科技Ⅱ辑 ,216395篇,2002,1251,0
2018,   农业科技 ,70178篇,2002,520,0
2018,   医药卫生科技 ,95157篇,2002,353,0
2018,   哲学与人文科学 ,123240篇,2002,961,0
2018,   信息科技 ,174519篇,2002,959,0
2018,   经济与管理科学 ,171798篇,2002,826,0
2018,   社会科学Ⅰ辑 ,69907篇,2002,288,0
2018,   社会科学Ⅱ辑 ,132763篇,2002,674,0
2018,   基础科学 ,77065篇,2004,1476,0
2018,   工程科技Ⅰ辑 ,162051篇,2003,1522,0
2018,   工程科技Ⅱ辑 ,216395篇,2003,2220,0
2018,   农业科技 ,70178篇,2003,976,0
2018,   医药卫生科技 ,95157篇,2003,544,0
2018,   哲学与人文科学 ,123240篇,2003,1585,0
2018,   信息科技 ,174519篇,2003,1288,0
2018,   经济与管理科学 ,171798篇,2003,1429,0
2018,   社会科学Ⅰ辑 ,69907篇,2003,515,0
2018,   社会科学Ⅱ辑 ,132763篇,2003,1293,0
2018,   基础科学 ,77065篇,2003,900,0
2018,   工程科技Ⅰ辑 ,162051篇,2000,167,0
2018,   工程科技Ⅱ辑 ,216395篇,2000,229,0
2018,   农业科技 ,70178篇,2000,160,0
2018,   医药卫生科技 ,95157篇,2000,45,0
2018,   哲学与人文科学 ,123240篇,2000,202,0
2018,   信息科技 ,174519篇,2000,135,0
2018,   经济与管理科学 ,171798篇,2000,172,0
2018,   社会科学Ⅰ辑 ,69907篇,2000,76,0
2018,   社会科学Ⅱ辑 ,132763篇,2000,100,0
2018,   基础科学 ,77065篇,2002,642,0
2018,   工程科技Ⅰ辑 ,162051篇,2001,434,0
2018,   工程科技Ⅱ辑 ,216395篇,2001,601,0
2018,   农业科技 ,70178篇,2001,331,0
2018,   医药卫生科技 ,95157篇,2001,164,0
2018,   哲学与人文科学 ,123240篇,2001,492,0
2018,   信息科技 ,174519篇,2001,390,0
2018,   经济与管理科学 ,171798篇,2001,407,0
2018,   社会科学Ⅰ辑 ,69907篇,2001,147,0
2018,   社会科学Ⅱ辑 ,132763篇,2001,366,0
2018,   基础科学 ,77065篇,2001,363,0
2018,   工程科技Ⅰ辑 ,162051篇,2004,2778,0
2018,   工程科技Ⅱ辑 ,216395篇,2004,4106,0
2018,   农业科技 ,70178篇,2004,1488,0
2018,   医药卫生科技 ,95157篇,2004,886,0
2018,   哲学与人文科学 ,123240篇,2004,2463,0
2018,   信息科技 ,174519篇,2004,2347,0
2018,   经济与管理科学 ,171798篇,2004,2621,0
2018,   社会科学Ⅰ辑 ,69907篇,2004,898,0
2018,   社会科学Ⅱ辑 ,132763篇,2004,1911,0
2018,   基础科学 ,77065篇,2000,114,0
2018,   工程科技Ⅰ辑 ,162051篇,2005,3923,0
2018,   工程科技Ⅱ辑 ,216395篇,2005,5854,0
2018,   农业科技 ,70178篇,2005,2108,0
2018,   医药卫生科技 ,95157篇,2005,1313,0
2018,   哲学与人文科学 ,123240篇,2005,3334,0
2018,   信息科技 ,174519篇,2005,3562,0
2018,   经济与管理科学 ,171798篇,2005,3803,0
2018,   社会科学Ⅰ辑 ,69907篇,2005,1309,0
2018,   社会科学Ⅱ辑 ,132763篇,2005,2774,0
2018,   基础科学 ,77065篇,1999,20,0
2018,   工程科技Ⅰ辑 ,162051篇,1999,18,0
2018,   工程科技Ⅱ辑 ,216395篇,1999,25,0
2018,   农业科技 ,70178篇,1999,15,0
2018,   医药卫生科技 ,95157篇,1999,12,0
2018,   哲学与人文科学 ,123240篇,1999,16,0
2018,   信息科技 ,174519篇,1999,25,0
2018,   经济与管理科学 ,171798篇,1999,14,0
2018,   社会科学Ⅰ辑 ,69907篇,1999,1,0
2018,   社会科学Ⅱ辑 ,132763篇,1999,5,0
2017,   基础科学 ,80138篇,2017,152,0
2017,   工程科技Ⅰ辑 ,166588篇,2017,438,0
2017,   工程科技Ⅱ辑 ,223606篇,2017,739,0
2017,   农业科技 ,68734篇,2017,92,0
2017,   医药卫生科技 ,94618篇,2017,216,0
2017,   哲学与人文科学 ,126938篇,2017,246,0
2017,   社会科学Ⅰ辑 ,79582篇,2017,370,0
2017,   信息科技 ,192703篇,2018,3,1
2017,   经济与管理科学 ,190236篇,2018,2,1
2017,   社会科学Ⅱ辑 ,130856篇,2018,17,1
2017,   基础科学 ,80138篇,2016,4806,0
2017,   工程科技Ⅰ辑 ,166588篇,2016,11749,0
2017,   工程科技Ⅱ辑 ,223606篇,2016,16301,0
2017,   农业科技 ,68734篇,2016,5042,0
2017,   医药卫生科技 ,94618篇,2016,8656,0
2017,   哲学与人文科学 ,126938篇,2016,6337,0
2017,   社会科学Ⅰ辑 ,79582篇,2016,6266,0
2017,   信息科技 ,192703篇,2017,576,0
2017,   经济与管理科学 ,190236篇,2017,815,0
2017,   社会科学Ⅱ辑 ,130856篇,2017,483,0
2017,   基础科学 ,80138篇,2015,7859,0
2017,   工程科技Ⅰ辑 ,166588篇,2015,18327,0
2017,   工程科技Ⅱ辑 ,223606篇,2015,25183,0
2017,   农业科技 ,68734篇,2015,6879,0
2017,   医药卫生科技 ,94618篇,2015,12417,0
2017,   哲学与人文科学 ,126938篇,2015,12479,0
2017,   社会科学Ⅰ辑 ,79582篇,2015,9617,0
2017,   信息科技 ,192703篇,2016,13030,0
2017,   经济与管理科学 ,190236篇,2016,14483,0
2017,   社会科学Ⅱ辑 ,130856篇,2016,9687,0
2017,   基础科学 ,80138篇,2014,9234,0
2017,   工程科技Ⅰ辑 ,166588篇,2014,21170,0
2017,   工程科技Ⅱ辑 ,223606篇,2014,27529,0
2017,   农业科技 ,68734篇,2014,8258,0
2017,   医药卫生科技 ,94618篇,2014,14286,0
2017,   哲学与人文科学 ,126938篇,2014,15285,0
2017,   社会科学Ⅰ辑 ,79582篇,2014,11193,0
2017,   信息科技 ,192703篇,2015,21928,0
2017,   经济与管理科学 ,190236篇,2015,22031,0
2017,   社会科学Ⅱ辑 ,130856篇,2015,16076,0
2017,   基础科学 ,80138篇,2013,9023,0
2017,   工程科技Ⅰ辑 ,166588篇,2009,10366,0
2017,   工程科技Ⅱ辑 ,223606篇,2009,14121,0
2017,   农业科技 ,68734篇,2009,4592,0
2017,   医药卫生科技 ,94618篇,2009,5503,0
2017,   哲学与人文科学 ,126938篇,2009,8135,0
2017,   社会科学Ⅰ辑 ,79582篇,2009,4056,0
2017,   信息科技 ,192703篇,2010,14960,0
2017,   经济与管理科学 ,190236篇,2010,14570,0
2017,   社会科学Ⅱ辑 ,130856篇,2010,8534,0
2017,   基础科学 ,80138篇,2012,7857,0
2017,   工程科技Ⅰ辑 ,166588篇,2010,12505,0
2017,   工程科技Ⅱ辑 ,223606篇,2010,15769,0
2017,   农业科技 ,68734篇,2010,5157,0
2017,   医药卫生科技 ,94618篇,2010,6851,0
2017,   哲学与人文科学 ,126938篇,2010,9565,0
2017,   社会科学Ⅰ辑 ,79582篇,2010,5756,0
2017,   信息科技 ,192703篇,2011,16053,0
2017,   经济与管理科学 ,190236篇,2011,16159,0
2017,   社会科学Ⅱ辑 ,130856篇,2011,11635,0
2017,   基础科学 ,80138篇,2011,6500,0
2017,   工程科技Ⅰ辑 ,166588篇,2008,9950,0
2017,   工程科技Ⅱ辑 ,223606篇,2008,13764,0
2017,   农业科技 ,68734篇,2008,4572,0
2017,   医药卫生科技 ,94618篇,2008,4546,0
2017,   哲学与人文科学 ,126938篇,2008,8159,0
2017,   社会科学Ⅰ辑 ,79582篇,2008,4073,0
2017,   信息科技 ,192703篇,2009,13298,0
2017,   经济与管理科学 ,190236篇,2009,11989,0
2017,   社会科学Ⅱ辑 ,130856篇,2009,7596,0
2017,   基础科学 ,80138篇,2010,6144,0
2017,   工程科技Ⅰ辑 ,166588篇,2011,14304,0
2017,   工程科技Ⅱ辑 ,223606篇,2011,17557,0
2017,   农业科技 ,68734篇,2011,5408,0
2017,   医药卫生科技 ,94618篇,2011,7819,0
2017,   哲学与人文科学 ,126938篇,2011,11563,0
2017,   社会科学Ⅰ辑 ,79582篇,2011,7234,0
2017,   信息科技 ,192703篇,2012,21031,0
2017,   经济与管理科学 ,190236篇,2012,21063,0
2017,   社会科学Ⅱ辑 ,130856篇,2012,13941,0
2017,   基础科学 ,80138篇,2009,5794,0
2017,   工程科技Ⅰ辑 ,166588篇,2012,19070,0
2017,   工程科技Ⅱ辑 ,223606篇,2012,23769,0
2017,   农业科技 ,68734篇,2012,7044,0
2017,   医药卫生科技 ,94618篇,2012,10983,0
2017,   哲学与人文科学 ,126938篇,2012,14724,0
2017,   社会科学Ⅰ辑 ,79582篇,2012,9248,0
2017,   信息科技 ,192703篇,2013,24591,0
2017,   经济与管理科学 ,190236篇,2013,22414,0
2017,   社会科学Ⅱ辑 ,130856篇,2013,16290,0
2017,   基础科学 ,80138篇,2008,5867,0
2017,   工程科技Ⅰ辑 ,166588篇,2013,19822,0
2017,   工程科技Ⅱ辑 ,223606篇,2013,26154,0
2017,   农业科技 ,68734篇,2013,8023,0
2017,   医药卫生科技 ,94618篇,2013,12263,0
2017,   哲学与人文科学 ,126938篇,2013,15569,0
2017,   社会科学Ⅰ辑 ,79582篇,2013,10803,0
2017,   信息科技 ,192703篇,2014,24467,0
2017,   经济与管理科学 ,190236篇,2014,24667,0
2017,   社会科学Ⅱ辑 ,130856篇,2014,17453,0
2017,   基础科学 ,80138篇,2007,5424,0
2017,   工程科技Ⅰ辑 ,166588篇,2006,7101,0
2017,   工程科技Ⅱ辑 ,223606篇,2006,10607,0
2017,   农业科技 ,68734篇,2006,3099,0
2017,   医药卫生科技 ,94618篇,2006,2624,0
2017,   哲学与人文科学 ,126938篇,2006,5887,0
2017,   社会科学Ⅰ辑 ,79582篇,2006,2676,0
2017,   信息科技 ,192703篇,2007,10654,0
2017,   经济与管理科学 ,190236篇,2007,10154,0
2017,   社会科学Ⅱ辑 ,130856篇,2007,7228,0
2017,   基础科学 ,80138篇,2006,4263,0
2017,   工程科技Ⅰ辑 ,166588篇,2007,9261,0
2017,   工程科技Ⅱ辑 ,223606篇,2007,13841,0
2017,   农业科技 ,68734篇,2007,3896,0
2017,   医药卫生科技 ,94618篇,2007,4078,0
2017,   哲学与人文科学 ,126938篇,2007,8099,0
2017,   社会科学Ⅰ辑 ,79582篇,2007,3781,0
2017,   信息科技 ,192703篇,2008,12068,0
2017,   经济与管理科学 ,190236篇,2008,11540,0
2017,   社会科学Ⅱ辑 ,130856篇,2008,7717,0
2017,   基础科学 ,80138篇,2005,2859,0
2017,   工程科技Ⅰ辑 ,166588篇,2005,4990,0
2017,   工程科技Ⅱ辑 ,223606篇,2005,7407,0
2017,   农业科技 ,68734篇,2005,2460,0
2017,   医药卫生科技 ,94618篇,2005,1785,0
2017,   哲学与人文科学 ,126938篇,2005,4042,0
2017,   社会科学Ⅰ辑 ,79582篇,2005,1841,0
2017,   信息科技 ,192703篇,2006,7977,0
2017,   经济与管理科学 ,190236篇,2006,7572,0
2017,   社会科学Ⅱ辑 ,130856篇,2006,5524,0
2017,   基础科学 ,80138篇,2004,1809,0
2017,   工程科技Ⅰ辑 ,166588篇,2001,564,0
2017,   工程科技Ⅱ辑 ,223606篇,2001,708,0
2017,   农业科技 ,68734篇,2001,444,0
2017,   医药卫生科技 ,94618篇,2001,250,0
2017,   哲学与人文科学 ,126938篇,2001,555,0
2017,   社会科学Ⅰ辑 ,79582篇,2001,187,0
2017,   信息科技 ,192703篇,2002,1256,0
2017,   经济与管理科学 ,190236篇,2002,1100,0
2017,   社会科学Ⅱ辑 ,130856篇,2002,819,0
2017,   基础科学 ,80138篇,2003,1103,0
2017,   工程科技Ⅰ辑 ,166588篇,2002,1249,0
2017,   工程科技Ⅱ辑 ,223606篇,2002,1653,0
2017,   农业科技 ,68734篇,2002,624,0
2017,   医药卫生科技 ,94618篇,2002,436,0
2017,   哲学与人文科学 ,126938篇,2002,1122,0
2017,   社会科学Ⅰ辑 ,79582篇,2002,396,0
2017,   信息科技 ,192703篇,2003,1779,0
2017,   经济与管理科学 ,190236篇,2003,2048,0
2017,   社会科学Ⅱ辑 ,130856篇,2003,1576,0
2017,   基础科学 ,80138篇,2002,756,0
2017,   工程科技Ⅰ辑 ,166588篇,1999,28,0
2017,   工程科技Ⅱ辑 ,223606篇,1999,36,0
2017,   农业科技 ,68734篇,1999,11,0
2017,   医药卫生科技 ,94618篇,1999,6,0
2017,   哲学与人文科学 ,126938篇,1999,16,0
2017,   社会科学Ⅰ辑 ,79582篇,1999,4,0
2017,   信息科技 ,192703篇,2000,212,0
2017,   经济与管理科学 ,190236篇,2000,253,0
2017,   社会科学Ⅱ辑 ,130856篇,2000,122,0
2017,   基础科学 ,80138篇,2001,432,0
2017,   工程科技Ⅰ辑 ,166588篇,2000,212,0
2017,   工程科技Ⅱ辑 ,223606篇,2000,299,0
2017,   农业科技 ,68734篇,2000,187,0
2017,   医药卫生科技 ,94618篇,2000,66,0
2017,   哲学与人文科学 ,126938篇,2000,253,0
2017,   社会科学Ⅰ辑 ,79582篇,2000,97,0
2017,   信息科技 ,192703篇,2001,524,0
2017,   经济与管理科学 ,190236篇,2001,534,0
2017,   社会科学Ⅱ辑 ,130856篇,2001,448,0
2017,   基础科学 ,80138篇,2000,153,0
2017,   工程科技Ⅰ辑 ,166588篇,2003,1896,0
2017,   工程科技Ⅱ辑 ,223606篇,2003,2887,0
2017,   农业科技 ,68734篇,2003,1211,0
2017,   医药卫生科技 ,94618篇,2003,679,0
2017,   哲学与人文科学 ,126938篇,2003,1827,0
2017,   社会科学Ⅰ辑 ,79582篇,2003,696,0
2017,   信息科技 ,192703篇,2004,3243,0
2017,   经济与管理科学 ,190236篇,2004,3564,0
2017,   社会科学Ⅱ辑 ,130856篇,2004,2312,0
2017,   基础科学 ,80138篇,1999,18,0
2017,   工程科技Ⅰ辑 ,166588篇,2004,3511,0
2017,   工程科技Ⅱ辑 ,223606篇,2004,5222,0
2017,   农业科技 ,68734篇,2004,1706,0
2017,   医药卫生科技 ,94618篇,2004,1109,0
2017,   哲学与人文科学 ,126938篇,2004,3039,0
2017,   社会科学Ⅰ辑 ,79582篇,2004,1276,0
2017,   信息科技 ,192703篇,2005,4982,0
2017,   经济与管理科学 ,190236篇,2005,5253,0
2017,   社会科学Ⅱ辑 ,130856篇,2005,3386,0
2017,   基础科学 ,80138篇,1998,19,0
2017,   工程科技Ⅰ辑 ,166588篇,1998,16,0
2017,   工程科技Ⅱ辑 ,223606篇,1998,14,0
2017,   农业科技 ,68734篇,1998,9,0
2017,   医药卫生科技 ,94618篇,1998,7,0
2017,   哲学与人文科学 ,126938篇,1998,10,0
2017,   社会科学Ⅰ辑 ,79582篇,1998,3,0
2017,   信息科技 ,192703篇,1999,27,0
2017,   经济与管理科学 ,190236篇,1999,11,0
2017,   社会科学Ⅱ辑 ,130856篇,1999,2,0
2016,   基础科学 ,74965篇,2016,169,0
2016,   工程科技Ⅰ辑 ,152903篇,2017,1,1
2016,   工程科技Ⅱ辑 ,203268篇,2017,2,1
2016,   农业科技 ,65171篇,2016,188,0
2016,   医药卫生科技 ,82594篇,2016,228,0
2016,   哲学与人文科学 ,111926篇,2017,1,1
2016,   信息科技 ,186994篇,2017,3,1
2016,   经济与管理科学 ,185613篇,2017,2,1
2016,   社会科学Ⅰ辑 ,76691篇,2017,1,1
2016,   社会科学Ⅱ辑 ,115100篇,2017,17,1
2016,   基础科学 ,74965篇,2015,4548,0
2016,   工程科技Ⅰ辑 ,152903篇,2016,418,0
2016,   工程科技Ⅱ辑 ,203268篇,2016,669,0
2016,   农业科技 ,65171篇,2015,4097,0
2016,   医药卫生科技 ,82594篇,2015,6248,0
2016,   哲学与人文科学 ,111926篇,2016,228,0
2016,   信息科技 ,186994篇,2016,559,0
2016,   经济与管理科学 ,185613篇,2016,812,0
2016,   社会科学Ⅰ辑 ,76691篇,2016,335,0
2016,   社会科学Ⅱ辑 ,115100篇,2016,489,0
2016,   基础科学 ,74965篇,2014,8306,0
2016,   工程科技Ⅰ辑 ,152903篇,2015,10420,0
2016,   工程科技Ⅱ辑 ,203268篇,2015,14079,0
2016,   农业科技 ,65171篇,2014,7807,0
2016,   医药卫生科技 ,82594篇,2014,13428,0
2016,   哲学与人文科学 ,111926篇,2015,5590,0
2016,   信息科技 ,186994篇,2015,13427,0
2016,   经济与管理科学 ,185613篇,2015,12415,0
2016,   社会科学Ⅰ辑 ,76691篇,2015,4978,0
2016,   社会科学Ⅱ辑 ,115100篇,2015,7993,0
2016,   基础科学 ,74965篇,2013,9267,0
2016,   工程科技Ⅰ辑 ,152903篇,2014,19226,0
2016,   工程科技Ⅱ辑 ,203268篇,2014,24979,0
2016,   农业科技 ,65171篇,2013,8606,0
2016,   医药卫生科技 ,82594篇,2013,12833,0
2016,   哲学与人文科学 ,111926篇,2014,13572,0
2016,   信息科技 ,186994篇,2014,22867,0
2016,   经济与管理科学 ,185613篇,2014,24048,0
2016,   社会科学Ⅰ辑 ,76691篇,2014,11199,0
2016,   社会科学Ⅱ辑 ,115100篇,2014,16203,0
2016,   基础科学 ,74965篇,2012,8204,0
2016,   工程科技Ⅰ辑 ,152903篇,2009,11334,0
2016,   工程科技Ⅱ辑 ,203268篇,2009,15211,0
2016,   农业科技 ,65171篇,2008,5051,0
2016,   医药卫生科技 ,82594篇,2008,4903,0
2016,   哲学与人文科学 ,111926篇,2009,8224,0
2016,   信息科技 ,186994篇,2009,15320,0
2016,   经济与管理科学 ,185613篇,2009,14031,0
2016,   社会科学Ⅰ辑 ,76691篇,2009,4841,0
2016,   社会科学Ⅱ辑 ,115100篇,2009,7990,0
2016,   基础科学 ,74965篇,2011,6926,0
2016,   工程科技Ⅰ辑 ,152903篇,2010,13431,0
2016,   工程科技Ⅱ辑 ,203268篇,2010,16862,0
2016,   农业科技 ,65171篇,2009,5018,0
2016,   医药卫生科技 ,82594篇,2009,5903,0
2016,   哲学与人文科学 ,111926篇,2010,9499,0
2016,   信息科技 ,186994篇,2010,16906,0
2016,   经济与管理科学 ,185613篇,2010,16903,0
2016,   社会科学Ⅰ辑 ,76691篇,2010,6838,0
2016,   社会科学Ⅱ辑 ,115100篇,2010,9006,0
2016,   基础科学 ,74965篇,2010,6534,0
2016,   工程科技Ⅰ辑 ,152903篇,2008,10937,0
2016,   工程科技Ⅱ辑 ,203268篇,2008,14797,0
2016,   农业科技 ,65171篇,2007,4404,0
2016,   医药卫生科技 ,82594篇,2007,4411,0
2016,   哲学与人文科学 ,111926篇,2008,8223,0
2016,   信息科技 ,186994篇,2008,14126,0
2016,   经济与管理科学 ,185613篇,2008,13787,0
2016,   社会科学Ⅰ辑 ,76691篇,2008,4581,0
2016,   社会科学Ⅱ辑 ,115100篇,2008,8165,0
2016,   基础科学 ,74965篇,2009,6131,0
2016,   工程科技Ⅰ辑 ,152903篇,2011,15217,0
2016,   工程科技Ⅱ辑 ,203268篇,2011,18458,0
2016,   农业科技 ,65171篇,2010,5614,0
2016,   医药卫生科技 ,82594篇,2010,7350,0
2016,   哲学与人文科学 ,111926篇,2011,11617,0
2016,   信息科技 ,186994篇,2011,18000,0
2016,   经济与管理科学 ,185613篇,2011,18627,0
2016,   社会科学Ⅰ辑 ,76691篇,2011,8563,0
2016,   社会科学Ⅱ辑 ,115100篇,2011,11965,0
2016,   基础科学 ,74965篇,2008,6432,0
2016,   工程科技Ⅰ辑 ,152903篇,2012,19844,0
2016,   工程科技Ⅱ辑 ,203268篇,2012,24691,0
2016,   农业科技 ,65171篇,2011,5879,0
2016,   医药卫生科技 ,82594篇,2011,8316,0
2016,   哲学与人文科学 ,111926篇,2012,14659,0
2016,   信息科技 ,186994篇,2012,22987,0
2016,   经济与管理科学 ,185613篇,2012,23866,0
2016,   社会科学Ⅰ辑 ,76691篇,2012,10542,0
2016,   社会科学Ⅱ辑 ,115100篇,2012,14380,0
2016,   基础科学 ,74965篇,2007,5879,0
2016,   工程科技Ⅰ辑 ,152903篇,2013,20274,0
2016,   工程科技Ⅱ辑 ,203268篇,2013,26791,0
2016,   农业科技 ,65171篇,2012,7540,0
2016,   医药卫生科技 ,82594篇,2012,11470,0
2016,   哲学与人文科学 ,111926篇,2013,14980,0
2016,   信息科技 ,186994篇,2013,26304,0
2016,   经济与管理科学 ,185613篇,2013,24819,0
